Model,Kernel_Scale,Num_Heads,Tol,ARI_Class,ARI_Well,Test_NFE,Train_NFE,Train_Time,Train_Fit_Time,Test_Time,Test_Fit_Time,Noise_0.1_ARI,Noise_0.1_NFE,Noise_0.3_ARI,Noise_0.3_NFE,Noise_0.5_ARI,Noise_0.5_NFE
Cubic CDE,N/A,1,0.01,0.1891,0.1921,83.0,4249.2857,501.5801,458.2448,0.2788,161.1277,0.0269,151.0,0.0468,287.0,0.0242,281.0
GP CDE,ls=200.0,1,0.01,0.1937,0.2175,27.0,4185.8571,451.5208,1.0517,0.1388,0.0116,0.1837,27.0,0.1618,27.0,0.1596,29.0
GP CDE,ls=500.0,1,0.01,0.1498,0.2446,27.0,4185.0,451.2092,0.7975,0.1345,0.0106,0.1539,27.0,0.17,27.0,0.1501,27.0
Kernel CDE,bw=200.0,1,0.01,0.179,0.2057,21.0,2397.0,449.5048,0.014,0.1315,0.0002,0.1839,21.0,0.1861,21.0,0.1327,21.0
Linear CDE,N/A,1,0.01,0.155,0.184,89.0,4254.1714,445.8327,3.6248,0.2673,1.1458,0.0232,205.0,0.024,557.0,0.0134,551.0
MV-CDE (Q-Former) (Learnable),scales=[100.0],1,0.01,0.1514,0.2619,21.0,3370.3714,609.7049,0.9929,0.6406,0.024,,,,,,
MV-CDE (Q-Former) (Learnable),scales=[300.0],1,0.01,0.1512,0.244,21.0,2397.0,186.3745,0.7836,0.1255,0.0102,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[300.0, 300.0]",2,0.01,0.2069,0.2005,21.0,2397.0,184.4859,0.6927,0.1322,0.0179,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[100.0, 100.0]",2,0.01,0.1629,0.1943,21.0,3483.1714,656.5917,0.9281,0.4019,0.0111,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[200.0, 300.0, 400.0]",3,0.01,0.2153,0.2484,21.0,2397.0,339.0432,1.3388,0.1125,0.0119,0.1913,21.0,0.1889,21.0,0.211,21.0
MV-CDE (Q-Former) (Learnable),"scales=[100.0, 100.0, 100.0]",3,0.01,0.1603,0.2512,21.0,3298.5429,618.1447,1.4558,0.4161,0.0379,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[300.0, 300.0, 300.0]",3,0.01,0.146,0.2466,21.0,2397.0,185.79,0.6842,0.1221,0.0177,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[100.0, 100.0, 100.0, 100.0]",4,0.01,0.1844,0.2207,21.0,3353.7429,650.9481,1.7134,0.4345,0.0381,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[300.0, 300.0, 300.0, 300.0]",4,0.01,0.1699,0.2573,21.0,2397.0,185.1581,0.756,0.1224,0.0185,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[100.0, 100.0, 100.0, 100.0, 100.0]",5,0.01,0.1838,0.2656,21.0,3427.6286,688.1271,2.7506,0.4228,0.0606,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[300.0, 300.0, 300.0, 300.0, 300.0]",5,0.01,0.1788,0.2078,21.0,2397.0,185.0663,0.8281,0.1223,0.0214,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",6,0.01,0.1723,0.238,23.0,3342.9429,674.2758,2.9272,0.4485,0.0659,,,,,,
MV-CDE (Q-Former) (Learnable),"scales=[300.0, 300.0, 300.0, 300.0, 300.0, 300.0]",6,0.01,0.1422,0.2429,21.0,2397.0,185.2691,0.9233,0.1265,0.0247,,,,,,
MVC-CDE (Conv) (Learnable),scales=[100.0],1,0.01,0.1936,0.231,21.0,3222.7714,249.4481,0.8823,0.1274,0.0162,,,,,,
